Test,Circuit,Phase 1,Phase 2
1,1,14,7
1,2,13,9
1,3,9,9
1,4,10,5
1,5,8,4
1,6,8,10
1,7,11,12
1,8,7,3
1,9,11,8
1,10,10,6
1,11,13,7
1,12,8,3
1,13,4,6
1,14,9,6
1,15,8,9
1,16,13,13
1,17,9,8
1,18,13,10
1,19,9,7
1,20,14,12
1,21,9,4
1,22,10,10
1,23,4,2
1,24,8,8
1,25,8,5
1,26,6,6
1,27,12,7
1,28,6,8
1,29,4,2
1,30,9,9
1,31,12,13
1,32,17,6
1,33,14,13
1,34,12,8
1,35,13,9
1,36,6,8
1,37,12,8
1,38,12,9
1,39,5,7
1,40,12,13
1,41,7,6
1,42,10,6
1,43,8,8
1,44,10,9
1,45,15,10
1,46,12,9
1,47,15,15
1,48,5,5
1,49,5,7
1,50,9,9
1,51,15,9
1,52,14,10
1,53,14,8
1,54,3,5
1,55,10,8
1,56,14,10
1,57,10,12
1,58,16,7
1,59,9,7
1,60,12,7
1,61,8,9
1,62,15,14
1,63,9,5
1,64,10,12
1,65,12,11
1,66,15,14
1,67,4,5
1,68,5,5
1,69,12,4
1,70,11,11
1,71,16,10
1,72,6,5
1,73,8,6
1,74,17,11
1,75,10,16
1,76,8,6
1,77,14,13
1,78,13,11
1,79,10,7
1,80,11,9
1,81,17,13
1,82,6,5
1,83,14,5
1,84,25,16
1,85,16,13
1,86,5,4
1,87,5,7
1,88,13,10
1,89,7,5
1,90,11,9
1,91,9,10
1,92,8,6
1,93,8,9
1,94,9,7
1,95,14,10
1,96,10,6
1,97,6,5
1,98,11,10
1,99,8,7
1,100,8,3
2,1,5,6
2,2,7,7
2,3,6,5
2,4,16,8
2,5,8,7
2,6,6,3
2,7,13,8
2,8,6,4
2,9,5,6
2,10,15,11
2,11,14,9
2,12,11,6
2,13,11,9
2,14,6,7
2,15,11,6
2,16,6,4
2,17,8,11
2,18,3,7
2,19,11,8
2,20,13,7
2,21,15,18
2,22,14,10
2,23,9,4
2,24,8,7
2,25,5,5
2,26,12,14
2,27,10,6
2,28,15,12
2,29,9,9
2,30,15,16
2,31,7,5
2,32,7,7
2,33,10,9
2,34,15,13
2,35,8,5
2,36,15,8
2,37,17,16
2,38,21,14
2,39,7,6
2,40,2,2
2,41,11,9
2,42,12,10
2,43,7,4
2,44,15,15
2,45,13,7
2,46,15,13
2,47,11,11
2,48,3,4
2,49,5,4
2,50,4,7
2,51,18,19
2,52,9,8
2,53,6,8
2,54,7,8
2,55,6,5
2,56,10,10
2,57,2,2
2,58,7,10
2,59,10,6
2,60,11,8
2,61,6,5
2,62,6,5
2,63,15,14
2,64,8,7
2,65,2,2
2,66,11,10
2,67,9,5
2,68,12,11
2,69,3,3
2,70,11,10
2,71,6,6
2,72,12,5
2,73,10,9
2,74,10,10
2,75,19,15
2,76,14,10
2,77,17,14
2,78,6,6
2,79,12,9
2,80,19,11
2,81,9,10
2,82,10,10
2,83,11,7
2,84,12,9
2,85,5,3
2,86,17,12
2,87,7,7
2,88,9,3
2,89,16,10
2,90,7,5
2,91,10,8
2,92,13,7
2,93,6,5
2,94,9,13
2,95,14,8
2,96,11,12
2,97,17,9
2,98,11,7
2,99,7,6
2,100,6,5
3,1,10,6
3,2,11,7
3,3,9,8
3,4,8,6
3,5,13,11
3,6,13,11
3,7,17,10
3,8,15,14
3,9,12,10
3,10,14,13
3,11,9,6
3,12,11,10
3,13,4,8
3,14,7,9
3,15,6,3
3,16,8,10
3,17,4,4
3,18,10,4
3,19,9,6
3,20,2,2
3,21,3,5
3,22,7,3
3,23,13,13
3,24,6,10
3,25,10,6
3,26,6,5
3,27,23,12
3,28,13,5
3,29,12,10
3,30,11,9
3,31,9,5
3,32,17,9
3,33,3,3
3,34,12,9
3,35,17,7
3,36,4,5
3,37,5,5
3,38,10,9
3,39,9,13
3,40,8,10
3,41,24,15
3,42,7,7
3,43,8,5
3,44,6,12
3,45,6,8
3,46,14,7
3,47,5,5
3,48,6,4
3,49,13,10
3,50,13,7
3,51,12,11
3,52,7,8
3,53,15,6
3,54,10,8
3,55,13,12
3,56,9,8
3,57,6,10
3,58,8,9
3,59,15,10
3,60,14,10
3,61,13,6
3,62,7,6
3,63,10,5
3,64,10,12
3,65,12,8
3,66,8,7
3,67,8,11
3,68,8,4
3,69,2,2
3,70,15,12
3,71,14,14
3,72,4,4
3,73,7,11
3,74,6,8
3,75,6,6
3,76,6,5
3,77,15,12
3,78,12,5
3,79,7,5
3,80,5,5
3,81,12,5
3,82,5,3
3,83,10,11
3,84,9,12
3,85,10,4
3,86,15,9
3,87,7,5
3,88,12,13
3,89,11,8
3,90,9,7
3,91,8,3
3,92,3,3
3,93,7,5
3,94,10,8
3,95,9,6
3,96,8,7
3,97,9,5
3,98,11,10
3,99,10,11
3,100,6,6
4,1,11,8
4,2,11,9
4,3,10,9
4,4,9,12
4,5,6,4
4,6,7,4
4,7,12,13
4,8,11,10
4,9,10,8
4,10,18,14
4,11,21,9
4,12,10,7
4,13,6,5
4,14,6,6
4,15,9,8
4,16,17,9
4,17,6,5
4,18,11,9
4,19,7,11
4,20,11,6
4,21,9,6
4,22,15,12
4,23,20,10
4,24,7,6
4,25,14,14
4,26,20,13
4,27,2,4
4,28,16,16
4,29,11,5
4,30,14,13
4,31,4,2
4,32,6,3
4,33,3,2
4,34,7,5
4,35,11,6
4,36,6,4
4,37,6,8
4,38,9,11
4,39,7,6
4,40,8,10
4,41,19,15
4,42,15,12
4,43,9,7
4,44,13,8
4,45,6,5
4,46,13,9
4,47,7,9
4,48,13,9
4,49,8,10
4,50,9,6
4,51,5,6
4,52,16,11
4,53,4,4
4,54,12,7
4,55,15,8
4,56,7,7
4,57,6,4
4,58,8,8
4,59,10,6
4,60,10,11
4,61,15,11
4,62,16,14
4,63,2,2
4,64,6,6
4,65,15,12
4,66,2,3
4,67,4,4
4,68,25,11
4,69,15,12
4,70,23,11
4,71,10,5
4,72,11,9
4,73,16,12
4,74,4,3
4,75,10,10
4,76,9,7
4,77,8,7
4,78,18,13
4,79,10,8
4,80,15,11
4,81,18,13
4,82,10,8
4,83,5,3
4,84,13,12
4,85,11,11
4,86,3,5
4,87,17,11
4,88,6,6
4,89,1,1
4,90,13,5
4,91,9,7
4,92,7,4
4,93,4,5
4,94,9,4
4,95,4,3
4,96,7,5
4,97,8,6
4,98,15,12
4,99,5,6
4,100,19,14
5,1,10,4
5,2,11,12
5,3,7,4
5,4,4,4
5,5,10,5
5,6,15,9
5,7,3,3
5,8,12,14
5,9,2,2
5,10,14,17
5,11,5,6
5,12,1,1
5,13,15,11
5,14,13,9
5,15,17,9
5,16,18,12
5,17,16,10
5,18,4,4
5,19,9,6
5,20,4,6
5,21,9,10
5,22,9,9
5,23,8,8
5,24,5,4
5,25,14,7
5,26,4,3
5,27,7,9
5,28,24,17
5,29,10,9
5,30,7,8
5,31,7,4
5,32,10,7
5,33,15,12
5,34,12,7
5,35,10,9
5,36,19,9
5,37,9,7
5,38,3,3
5,39,5,4
5,40,5,5
5,41,23,17
5,42,10,12
5,43,12,11
5,44,12,16
5,45,7,6
5,46,7,8
5,47,8,5
5,48,7,6
5,49,13,12
5,50,9,8
5,51,8,8
5,52,9,8
5,53,4,2
5,54,2,4
5,55,8,4
5,56,20,17
5,57,6,4
5,58,12,11
5,59,8,6
5,60,9,6
5,61,17,10
5,62,8,4
5,63,15,19
5,64,10,5
5,65,8,15
5,66,14,13
5,67,11,9
5,68,3,4
5,69,6,5
5,70,19,12
5,71,9,8
5,72,13,7
5,73,10,8
5,74,12,12
5,75,13,10
5,76,9,8
5,77,6,3
5,78,4,4
5,79,7,6
5,80,5,7
5,81,11,7
5,82,10,8
5,83,17,14
5,84,11,11
5,85,11,10
5,86,13,7
5,87,9,7
5,88,4,3
5,89,19,12
5,90,17,18
5,91,16,8
5,92,11,8
5,93,10,10
5,94,5,4
5,95,6,5
5,96,3,3
5,97,8,6
5,98,2,2
5,99,16,8
5,100,7,7
6,1,10,5
6,2,7,5
6,3,16,5
6,4,19,9
6,5,16,14
6,6,7,7
6,7,8,5
6,8,15,12
6,9,16,8
6,10,13,7
6,11,7,5
6,12,12,9
6,13,12,11
6,14,18,21
6,15,13,10
6,16,15,9
6,17,12,11
6,18,7,6
6,19,13,11
6,20,9,7
6,21,3,1
6,22,6,6
6,23,14,10
6,24,19,18
6,25,8,7
6,26,9,8
6,27,12,11
6,28,10,9
6,29,9,9
6,30,14,14
6,31,3,3
6,32,8,7
6,33,11,9
6,34,15,14
6,35,4,4
6,36,10,7
6,37,9,9
6,38,3,1
6,39,11,9
6,40,13,9
6,41,11,11
6,42,22,19
6,43,17,13
6,44,8,8
6,45,12,11
6,46,5,2
6,47,11,11
6,48,17,8
6,49,8,5
6,50,12,8
6,51,9,6
6,52,8,4
6,53,17,10
6,54,13,8
6,55,7,5
6,56,5,5
6,57,7,6
6,58,11,9
6,59,9,4
6,60,15,15
6,61,9,7
6,62,11,10
6,63,17,8
6,64,9,4
6,65,14,9
6,66,11,8
6,67,13,15
6,68,3,3
6,69,5,8
6,70,10,11
6,71,7,9
6,72,12,8
6,73,14,11
6,74,14,11
6,75,10,7
6,76,10,8
6,77,4,3
6,78,13,4
6,79,13,15
6,80,5,3
6,81,10,10
6,82,4,3
6,83,13,8
6,84,5,5
6,85,1,1
6,86,13,6
6,87,15,11
6,88,7,7
6,89,10,9
6,90,9,7
6,91,8,3
6,92,9,6
6,93,12,7
6,94,4,4
6,95,20,16
6,96,3,4
6,97,8,7
6,98,16,11
6,99,9,5
6,100,9,8
7,1,4,7
7,2,9,9
7,3,5,6
7,4,13,12
7,5,16,8
7,6,13,7
7,7,10,8
7,8,9,7
7,9,16,13
7,10,11,11
7,11,10,6
