Circuit,Phase 1,Phase 2
1,11,9
2,6,7
3,9,9
4,10,6
5,7,8
6,11,11
7,5,7
8,10,9
9,9,8
10,6,8
11,6,13
12,16,15
13,9,9
14,6,7
15,7,8
16,4,9
17,11,13
18,16,10
19,9,6
20,21,10
21,8,8
22,16,12
23,8,11
24,12,10
25,15,15
26,7,8
27,8,10
28,16,17
29,18,16
30,6,4
31,8,13
32,9,10
33,6,3
34,6,7
35,7,9
36,4,3
37,7,12
38,10,10
39,6,5
40,14,11
41,12,13
42,10,12
43,9,9
44,16,11
45,12,12
46,4,6
47,15,13
48,6,6
49,9,6
50,7,9
51,3,10
52,5,9
53,6,17
54,6,7
55,13,13
56,14,15
57,3,3
58,15,10
59,10,17
60,3,6
61,7,6
62,3,4
63,13,9
64,10,8
65,16,13
66,17,15
67,7,4
68,13,15
69,8,4
70,5,8
71,9,11
72,6,11
73,3,4
74,13,11
75,10,8
76,4,4
77,19,16
78,13,10
79,9,6
80,9,7
81,13,17
82,15,13
83,11,13
84,14,10
85,6,9
86,4,3
87,11,14
88,10,14
89,5,9
90,8,7
91,3,3
92,12,16
93,15,17
94,16,13
95,5,8
96,8,5
97,7,12
98,10,9
99,17,11
100,1,1
