Test,Circuit,Phase 1,Phase 2,Phase 3
1,1,9,7,5
1,2,14,8,7
1,3,16,14,13
1,4,6,7,5
1,5,8,6,6
1,6,9,9,6
1,7,8,10,8
1,8,13,16,14
1,9,14,11,9
1,10,6,6,6
1,11,6,5,5
1,12,7,4,6
1,13,7,5,7
1,14,14,8,8
1,15,7,7,6
1,16,7,9,6
1,17,11,12,9
1,18,10,7,5
1,19,7,6,6
1,20,6,5,4
1,21,9,7,6
1,22,10,5,3
1,23,9,9,9
1,24,8,3,3
1,25,13,12,14
1,26,7,7,5
1,27,8,9,8
1,28,10,10,8
1,29,5,6,5
1,30,9,8,5
1,31,10,9,8
1,32,12,8,7
1,33,6,6,5
1,34,2,1,1
1,35,6,6,18
1,36,16,11,13
1,37,10,6,5
1,38,11,11,21
1,39,5,6,3
1,40,10,7,6
1,41,3,3,3
1,42,15,7,8
1,43,17,10,10
1,44,16,18,11
1,45,11,6,6
1,46,10,12,10
1,47,4,4,4
1,48,18,5,5
1,49,11,7,10
1,50,17,11,15
1,51,10,3,3
1,52,15,9,20
1,53,5,3,3
1,54,14,11,9
1,55,6,4,4
1,56,5,4,4
1,57,13,8,7
1,58,7,9,7
1,59,10,6,6
1,60,5,5,3
1,61,6,5,4
1,62,13,7,6
1,63,7,4,4
1,64,2,2,2
1,65,12,13,14
1,66,9,9,9
1,67,11,5,5
1,68,8,3,3
1,69,20,7,7
1,70,12,9,7
1,71,5,6,4
1,72,17,8,6
1,73,16,12,10
1,74,9,5,5
1,75,20,8,9
1,76,7,4,4
1,77,4,3,2
1,78,17,11,8
1,79,7,6,5
1,80,10,14,10
1,81,17,15,12
1,82,13,5,5
1,83,5,3,3
1,84,7,6,19
1,85,19,8,13
1,86,2,2,2
1,87,11,14,10
1,88,9,7,6
1,89,4,3,3
1,90,7,5,5
1,91,2,2,2
1,92,7,6,5
1,93,18,19,14
1,94,11,12,21
1,95,7,7,4
1,96,5,2,2
1,97,18,10,9
1,98,5,5,5
1,99,4,5,4
1,100,18,6,6
2,1,15,9,21
2,2,12,11,9
2,3,5,4,5
2,4,15,15,9
2,5,9,9,8
2,6,7,3,3
2,7,21,10,12
2,8,14,12,8
2,9,13,11,8
2,10,11,7,7
2,11,4,3,3
2,12,8,8,6
2,13,11,10,7
2,14,19,17,11
2,15,19,9,7
2,16,16,8,6
2,17,9,5,7
2,18,14,7,5
2,19,17,17,15
2,20,6,5,17
2,21,9,12,9
2,22,21,13,8
2,23,6,6,6
2,24,10,8,8
2,25,6,5,3
2,26,10,11,10
2,27,2,2,2
2,28,3,3,3
2,29,5,5,4
2,30,18,12,14
2,31,8,6,6
2,32,8,11,6
2,33,5,2,2
2,34,13,8,8
2,35,5,7,4
2,36,8,6,5
2,37,8,12,20
2,38,14,15,10
2,39,11,10,6
2,40,10,4,3
2,41,21,13,17
2,42,4,6,4
2,43,7,9,7
2,44,7,6,6
2,45,2,3,2
2,46,11,16,9
2,47,11,13,12
2,48,7,5,5
2,49,11,4,4
2,50,10,10,7
2,51,5,5,15
2,52,7,8,6
2,53,7,6,5
2,54,5,9,5
2,55,8,8,6
2,56,17,6,6
2,57,22,13,25
2,58,7,7,4
2,59,7,7,7
2,60,13,13,13
2,61,5,6,4
2,62,5,5,3
2,63,10,13,8
2,64,11,10,9
2,65,8,7,8
2,66,11,11,21
2,67,14,9,8
2,68,14,8,8
2,69,10,16,10
2,70,18,15,10
2,71,5,8,15
2,72,6,4,4
